スレ数,ID,コメント,投稿時刻
135,ID:Nl19o79ha,おうカバーつけてもらうときはくれぐれも気をつけろよ  表紙を剥がされて乙女のトラウマ植えつけられたと言う報告もあるからな,2018/11/10 23:22:30
136,ID:4FqHK22o0,具体的にどこにありますか？  カバー下、巻末、話の間など全部ある感じですか？,2018/11/10 23:28:15
137,ID:4MCcnu/A0,巻末だけ無いな  カバー下話の間がある  買って損はしない絶対,2018/11/10 23:31:35
138,ID:H0/sPMX5M,配送してもらうのが安全だから……危険を犯す必要はないんだ……,2018/11/10 23:35:00
139,ID:KLYBMJ9M0,最近になって、電子書籍版にも表紙裏のおまけが追加されるようになったけど  裏表紙（表紙見開きの右半分）と背表紙だけないんだよな、残念だ  紙と同じ値段でいいから欲しいところだ,2018/11/10 23:38:49
140,ID:4FqHK22o0,Kindleでセール中なので電子書籍で購入しようとしてるんだけど、  >>140  の言うように紙との違いはカバーの背、裏表紙がないくらいですか？カバー裏のおまけはあるみたいだけど。,2018/11/10 23:57:17
141,ID:qtR6pTBFp,確か1.2巻辺りはカバー裏だけ未収録のままじゃなかったか？kindle版は  俺は本派だから確かめられないが,2018/11/11 0:16:25
142,ID:CbI84pNw0,紙版とkindle版の比較で  無いもの……帯(アニメ化や劇場版やコミックガンマの宣伝しか載ってない)、カバー裏表紙、そで(表紙側:毎巻違うデフォルメキャラ1体イラスト、裏表紙側:毎巻同じオナホ断面図)  奥付は電子版用  カバー表紙、本体表紙、本体裏表紙 は同じ   上のレスで指摘されている1，2巻の本体側裏表紙は現行バージョンでは収録されているのを確認した,2018/11/11 0:27:49
143,ID:CbI84pNw0,最終行訂正  上のレスで指摘されている1，2巻の本体側表紙、本体側裏表紙は現行バージョンでは収録されているのを確認した,2018/11/11 0:31:07
144,ID:iV9s2wca0,皆さん丁寧に説明してくれてありがとうございました。,2018/11/11 1:15:36
145,ID:l4InJcRCM,>>24  今思ったけどボ倒すときに腕だけでリコがインシミ打ってたけどどう考えても動力がない気がするそす,2018/11/11 1:20:00
146,ID:KA8VrQCA0,つくし卿は今は眠っています。  ご安心ください、きちんと解放しますよ,2018/11/11 1:26:39
147,ID:/55o/Fkg0,物理的には千切れてるように見えるけどアビス的には繋がってるし問題なく動かせるんだよ,2018/11/11 1:46:23
148,ID:ZlOMfKJp0,つくし卿をカートリッジに詰めて更新負荷を代行させるか、  つくし卿にカートリッジを装備させて執筆負荷を軽減させるか,2018/11/11 1:47:38
149,ID:D6f6DKCU0,一巻から読み直してたけど色々矛盾が気になってくるぅ回収してくれるのかな,2018/11/11 2:10:23
150,ID:FCOf2jaR0,>>150  例えば？,2018/11/11 5:16:15
151,ID:ykJRnAkt0,ナナチを6層から打ち上げると  更になれ果てるのか？,2018/11/11 8:03:02
152,ID:kxzYlwlO0,触手ナナチ,2018/11/11 8:05:45
153,ID:JHXmWvvb0,あたしたちを…焦らしてたの…？,2018/11/11 8:06:52
154,ID:kD//p4lW0,（θωθ）んなんなんなんなぁ～！？,2018/11/11 8:21:34
155,ID:8v/e5qoIa,ナナチおいしそう,2018/11/11 8:38:45
156,ID:DGrEklpy0,ナナチ棒ぺろぺろ,2018/11/11 9:11:39
157,ID:FMzCRcg1M,前科があるといっても一回だけだし,2018/11/11 10:13:06
158,ID:hNHqPw3V0,いちいちナナチ嗅いで臭いって言って赤面させるのが僕の日課です,2018/11/11 10:28:29
159,ID:Fz65US7h0,促進ナナチ  https://i.imgur.com/RArORpD.jpg,2018/11/11 10:36:05
160,ID:kifaJd3d0,ヤバイ事に気付いてしまった  いるブルが登場人物を丸々複製する能力を持つという事は、作者がそうしたいと思えばキャラクターを無限にリョナったり殺したりできるという事に…,2018/11/11 10:58:41
161,ID:Fz65US7h01111,複製する料金を支払えないので実質使えないためセーフ,2018/11/11 11:32:37
