スレ数,ID,コメント,投稿時刻
163,ID:MsLr6XOua,奈落の底は時間の進みが加速度的に遅くなり、昔ラストダイブした人の姿が上の方から見えたりしそう,2018/11/24 19:37:39
164,ID:7xjA5oDyM,しかし力場が観測を拒むのだ…？,2018/11/24 19:46:53
165,ID:OROozdRir,この作者はショタのへそをぶっ刺す性癖でもあるの？  レグ3回くらいへそ刺されてる気がするけど,2018/11/24 22:24:14
166,ID:Q6ZoSWix0,書き込み減ったなぁ  みんな更新来るのわかって安心しちゃって焦燥感なくなっちゃったのね  止まんじゃねえぞ…,2018/11/24 22:27:45
167,ID:6fkLK8sE0,その性癖が無かったら描く訳がなーい！,2018/11/24 22:28:14
168,ID:oYYE6Rew0,じゃあ言うね   更新まああああああああああああああああ！,2018/11/24 22:28:34
169,ID:nshPgNH80,アニメ劇場版もいいが、けっきょくは総集編なので  一期の続きの情報が欲しい  そろそろティザーでもキャスト発表でもいいから、出してくんないと  プルシュカの妄想声優が脳内再生で定着しちゃうぞ,2018/11/24 22:41:49
170,ID:bodSWFX7a,>>166  作者は同級生男子のヘソに興奮した変態だぞ  さもありなん,2018/11/24 22:54:46
171,ID:8ruZWag30,総集編後編のスタッフロール後に新情報出すんでしょ！！！,2018/11/24 22:59:00
172,ID:vjapTWhc0,MGSのオセロットみたいな,2018/11/24 23:08:34
173,ID:miVUEJt80,もう描き上がってんならもったいぶってないではようぷしろや  つくしがいつまでシャバにいるかわかんねーんだぞ,2018/11/24 23:41:10
174,ID:IxBwUex30,塀の中でも漫画は描けるやろ,2018/11/24 23:51:02
175,ID:6rVHJxyN0,アビスの中でもな…,2018/11/25 0:16:26
176,ID:KAV6Yms+0,つくし卿は既にラストダイブしてるので捕まることはない,2018/11/25 0:20:55
177,ID:JpItMhpd0,負けないで！つくし卿！,2018/11/25 0:28:28
178,ID:gbVoscXa0,次回、つくし卿逮捕  デュエルスタンバイ！,2018/11/25 3:06:12
179,ID:KMV/Mrgk0,ハローアヌス,2018/11/25 7:52:07
180,ID:utFdMkBC0,>>170  プルシュカの妄想声優は俺の中では金元寿子で決定してる,2018/11/25 8:10:30
181,ID:iZ1AQFuEa,ナナチお日様の香りということは  絨毯干した後寝っ転がったらナナチの上に寝っ転がったような感触が味わえるのでは？    チクチクした,2018/11/25 8:58:52
182,ID:O/3UQB48M,プルシュカは個人的にらむりんのイメージ,2018/11/25 9:04:16
183,ID:MsOZnXsM0,ラムりんが消えたのってそういう…,2018/11/25 10:06:19
184,ID:vfgm0giDd,>>182  ビキューナ100%の敷物を天日干しすれば感触もナナチ  さぁ買ってこい,2018/11/25 10:22:15
185,ID:h4imFnokM,逮捕ネタはいい加減寒いことに気付いて,2018/11/25 10:53:31
186,ID:e8qfU5Oe0,実際シツレイ,2018/11/25 11:23:43
187,ID:JpItMhpd0,ほんそれ,2018/11/25 11:28:16
188,ID:fzBGBUo6d,プルシュカはツンツンした高い声でしょ,2018/11/25 11:57:24
189,ID:3wlqZ8iXa,つまり釘宮理恵か。,2018/11/25 12:00:51
190,ID:P5LU2BFB0,>>190  同士よ,2018/11/25 12:02:15
191,ID:qpq1fiBJd,禿同,2018/11/25 12:05:14
192,ID:dNgsFkGG0,あえてMGS3のザ・ボスやサイコブレイクのタティアナのような井上喜久子さんの低めセクシーボイスも良いと思うんだ。,2018/11/25 12:10:57
193,ID:Hi0LVc5Q0,井上喜久子さんはコメディ系日常アニメならいいんだけど、  置鮎龍太郎と同じで、作ってる声感が凄い人だから、あんまなぁ…,2018/11/25 12:13:29
194,ID:h4imFnokM,声作ってない声優なんていないわけないだろ  んなぁ？井澤詩織？ちょっとなに言ってるかわかんねえな,2018/11/25 12:20:02
195,ID:KAV6Yms+0,年齢がね……流石にね……,2018/11/25 12:20:32
196,ID:Hi0LVc5Q0,>>195  いや、そういう事じゃねえよｗ   例えば俺らがふざけてわざとらしく「かっこいい声」で話すとするだろ？  そんな感じよ,2018/11/25 12:25:46
197,ID:auutr9y4a,>>186  気持ち悪い下ネタも寒いのに一向にやめないよね？,2018/11/25 12:48:27
198,ID:h4imFnokM,>>197  本気で言ってるわけじゃないから大丈夫www  プルシュカはいいいいいい！が上手くやれそうな人をお願いしたい,2018/11/25 12:55:14
199,ID:jMzzxxYFd,ラジオインアビス最終回の富田飯で  食材のひどさにばかばかばかっていってるナナチ可愛い,2018/11/25 13:10:44
200,ID:h4imFnokM,>>200  つくし卿「まだ大丈夫ですハイ」,2018/11/25 13:14:30
201,ID:IZ/dnE8gd,プルシュカは佐倉綾音  エロコはほっちゃん   てイメージかな,2018/11/25 14:01:34
202,ID:T11VUrMl0,プルシュ缶の価値はどのくらいなの？おしえて！エロい人！,2018/11/25 14:30:48
203,ID:p2pOkSnka,つくし卿はこども好きなのに結婚願望とかないのかな,2018/11/25 14:48:47
204,ID:dNgsFkGG0,>>203  324円だよ  リキュールだよ,2018/11/25 14:57:35
205,ID:7+f71xZJ0,愛してるからといって、  結婚というもので愛を形作る必要なんてないだろ！,2018/11/25 15:08:32
206,ID:uTehD6kgr,愛、愛ですよ>>204,2018/11/25 15:27:00
207,ID:3wlqZ8iXa,そいえば劇場版の追加要素なんなんだろ。  エウレカみたいなクソ編集ではないだろうが観に行くか悩む,2018/11/25 15:36:42
208,ID:SZykQyuK0,ナナチ以外の完成品フィギュアはなかなか出てこないね  リコはシームレス柔軟素材で作ってくれたら…,2018/11/25 15:41:03
209,ID:dFbygPwL0,つくし卿が実はもう結婚してたらどうしよう  イメージが崩れるかもしれない   少年と結婚できる国とかあるっけ？,2018/11/25 15:42:51
210,ID:KAV6Yms+0,グェイラさんの声は？,2018/11/25 15:48:26
211,ID:DCfkYZLz0,>>210  自画像を見てみろよ  ショタがおっさんの体内に結合してるだろ  アンコウの番いの逆バージョンみたいなもんだ,2018/11/25 15:51:47
212,ID:pZbD0I9A0,>>211  玄田哲章,2018/11/25 15:53:58
213,ID:gbVoscXa0,前に見た時はピンク髪のショタだったよ  今のボディは俺らに合わせた特別性だよ,2018/11/25 15:54:51
214,ID:MsOZnXsM0,俺が放送で見た時はロリ巨乳だったが…,2018/11/25 17:32:47
215,ID:WRDVbuJed,目だけが光っていた…,2018/11/25 17:37:54
216,ID:ZsxWygH2d,全てつくしですよ,2018/11/25 17:43:51
217,ID:nLZxCoPTd,アビスの女性ファンは居てもつくしの女性ファンは居るのか,2018/11/25 18:16:09
218,ID:dNgsFkGG0,>>216  なんだって？,2018/11/25 18:18:31
219,ID:fswgNqeZ0,何が始まるんです？,2018/11/25 18:32:10
220,ID:e8qfU5Oe0,どういうことだ？,2018/11/25 18:32:15
221,ID:BXN/sfZe0,まあああああああああああ！？,2018/11/25 18:34:20
222,ID:9E+Ajq4w0,ゼルダの伝説のダブルクローショット見るとレグが脳内をチラついて仕方ない,2018/11/25 18:46:19
223,ID:ZSAlKWoZd,ブレスオブザワイルドみたいな自由度でゲーム化して欲しいつて思ったけど  アビスはオープンワールドとは真逆になるな,2018/11/25 19:03:45
224,ID:tTKiAh5eK,自由度は高いですよ  ちょっと降下ルートを間違えると死ぬだけです,2018/11/25 19:08:11
225,ID:zYodP1VQ0,あのゲームは常に上を取ることを考えるゲームなのに  上昇負荷があると雨の日よりひどいことになるな,2018/11/25 19:08:24
226,ID:5GoUk3Gbd,>>218  クマみたいな人が好きって人もいるし  需要はあるんじゃないか  ただつくし卿が興味あるとは限らないな,2018/11/25 19:20:40
227,ID:9imZ/j2Ja,リーバルトルネードいつでも準備OKだｗｗｗｗｗｗｗｗｗｗ,2018/11/25 20:44:55
228,ID:mBwQykzRa,アビスでリーバルトルネードしたらとんでもないことになるわ,2018/11/25 20:46:32
229,ID:RJKu1ab60,つくし卿バージョンドットに出て来て草,2018/11/25 21:42:43
230,ID:GzE0mrxQ0,>>223  クローショットする度に上昇負荷がかかって血涙流すリンクとかマジ勘弁,2018/11/25 22:18:55
231,ID:3+W0YolWa,アビスの呪いをゲームで再現するなら  一層：少し画面が揺れ、動きがニブくなる  二層：激しく画面が揺れ、一層より長く動きが遅くなる  三層：画面上の地形が大きく変わり、下手に動くと怪我をしたり原生生物からの攻撃に気づけなかったりする  四層：ビジュアルの変化（血が流れる）体力が上昇した長さに応じて大きく削られる  五層：画面が真っ暗になり体力が大きく削られ、プレイヤーの意思に反して動き回る  六層：基本的にゲームオーバー、特殊な手順でしゅくふか化  七層ゲームオーバー   こんな感じ？,2018/11/25 22:39:36
232,ID:JpItMhpd0,そんなん絶対無理ゲーやん(初心者探窟家並感),2018/11/25 22:43:12
233,ID:eZ6UbNpy0,６層を克服してたら、上の層の呪いは平気になるんだろうか。,2018/11/25 22:44:45
234,ID:ZaKguB1k0,授賞式みるより掲載を早く…,2018/11/25 22:53:09
235,ID:/XcJCC8q0,メイドインアビスゲーム化したらストーリー型のモンハンみたいで面白そうやん  ストーリー形式にして次の層に進むまで釣りとか採集とかモンスター狩ったりして装備強化したりしたい  レグは戦闘、リコは採集と調理、ナナチは足も速そうだし気も感じ取れるから偵察と採集みたいに特徴があって場合に応じてキャラの切り替え出来たら良さそう,2018/11/25 22:58:58
236,ID:3+W0YolWa,でも実際ゲームにしたら原作よりよっぽど難易度易しくする必要あるな  せめてアビス内の植物や動物や取れた素材で回復できるようにしないと   でも欠損は欲しい（リョナ願望）,2018/11/25 23:02:53
237,ID:pZbD0I9A0,いっそトライアンドエラーのガンガン死にまくるアクションゲームでリコの死に様を楽しむゲームに,2018/11/25 23:05:46
238,ID:pXJLSVGq0,探窟家番付でずらっと並ぶリコさんの名前と死因,2018/11/25 23:12:00
239,ID:JpItMhpd0,死因：ﾝﾎﾞｯﾌﾟ中に襲われた,2018/11/25 23:18:39
240,ID:3+W0YolWa,六層でわざと成れ果てになってスクショする人が続出しそう,2018/11/25 23:21:54
241,ID:KAV6Yms+0,バンジージャンプから逃げるな,2018/11/25 23:23:19
242,ID:l+tJlakR0,ＲＡＮＫ　ＮＡＭＥ　　ＳＣＯＲＥ  　１ＳＴ　ＲＩＫＯ　９９９９９Ｍ  　２ＮＤ　ＲＩＫＯ　９１６３４Ｍ  　３ＲＤ　ＲＩＫＯ　８８２１７Ｍ  　４ＴＨ　ＲＩＫＯ　７８３４８Ｍ  　５ＴＨ　ＲＩＫＯ　７２１５９Ｍ   ・・・いまトップ何Mあたりにいて誰なんだろうな,2018/11/25 23:30:24
243,ID:/Po7xgMh0,アビス管理ゲーの方が面白いかな,2018/11/25 23:42:41
244,ID:CChvY3kj0,アトラスにマッピングRPGとして作ってもらおう,2018/11/25 23:45:14
245,ID:JpItMhpd0,大断層にネリタンタンを放り込んでマトカジャクを育成するゲームならやってみたい,2018/11/25 23:56:57
246,ID:NRzygDlCa,美味しい料理を作ってナナチの幸せ顔を見るミニゲーム,2018/11/26 0:00:54
247,ID:t7bBoB0b0,マイクラでアビスやオース再現してるのあったな  でも描画距離上げたら一層あたりから巨人の盃が視認できててワロタ,2018/11/26 0:12:18
248,ID:bGX8Gf940,>>248  工ｴｴｪｪ(´д｀)ｪｪｴｴ工,2018/11/26 0:15:14
249,ID:NRzygDlCa,ググったらデータ配布されてるじゃねーか！ひゃっほう今度暇あるときに遊びつくそう,2018/11/26 0:18:42
250,ID:X+fOGVl60,>>202  ヴエコは松田颯水か高橋花林がいいなぁ,2018/11/26 1:12:39
251,ID:/oW7Fz0J0,つくし卿がマイクラアビスRTしててワロタ  このタイミングだとスレ覗いてると思われでおかしくない,2018/11/26 1:15:59
252,ID:wou3PZsSa,いえーい、つくし見てるー？,2018/11/26 1:35:14
253,ID:tawlhiis0,エゴサーチ卿,2018/11/26 1:37:45
254,ID:r7v8+Z/d0,ボ卿院,2018/11/26 1:49:24
255,ID:9AlL0JCg0,マインアビス普通に難易度高いな、遺物の配置がランダムっぽいけど復活するのか気になる  今の所奈落に遺物を落とし続けてる,2018/11/26 2:06:31
256,ID:jkWRWKB+0,アビスMAPやってみたけど歴代白笛につくし卿が入ってて草  星の羅針盤より姫乳房の方が価値高いのかよって思ったけどオースではそんな扱いだったな,2018/11/26 2:16:03
257,ID:VXwOgw/+0,リコさんが発見してそのままちょろまかしてたから  オースでの羅針盤の価値は分からないよ,2018/11/26 2:20:21
258,ID:T3imkGOP0,>>198  不謹慎ネタを下ネタと一緒にするなよ  それで反論になると思ったら大間違いだぞ,2018/11/26 2:50:24
259,ID:S8cz/06a0,>>232  しょぼんツクールで出してくれ,2018/11/26 4:01:55
260,ID:jOzT5m4Ra,つくし卿逮捕期待は不謹慎ネタでもないでしょ  性癖に対するリスペクトがあっての称賛を含むネタだよ  ショタのヘソすこすこなんてフツー描かない,2018/11/26 4:35:34
261,ID:A+GHDh4Jp,普通ならネタにもなるだろうがつくし卿に限っては洒落になんねぇからやめろ  という擁護しているようで刺してる構造だぞ,2018/11/26 4:57:36
262,ID:TnD7KsPcd,ファプタの身体はレグのヘソを刺すのに適した構造だね,2018/11/26 5:00:42
263,ID:F/kpgv56M,この歳まで前科なしで生きてきてるなら心配ない  それ分かった上でタイホ！タイホ！言ってるだけさ,2018/11/26 5:04:57
264,ID:r7v8+Z/d0,いや単純になんも悪くない人を犯罪者呼ばわりするのは止めようよってことだけど…,2018/11/26 5:53:49
265,ID:F/kpgv56M,>>265  5チャンネルでそこまでモラルのハードル上げられてもなあ,2018/11/26 5:57:49
266,ID:XWj48IAi0,うえでマイクラのはなしあがったけど、マイクラでアビスを再現するプロジェクト進行中だぞ。   https://cdn.discordapp.com/attachments/464678554681081856/464680703540592640/2018-07-05_23.34.46.png  https://cdn.discordapp.com/attachments/464678554681081856/516333788066742282/Minecraft_1.13.2_25_11_18_19_22_44.png  https://cdn.discordapp.com/attachments/464678554681081856/515849857270022145/Minecraft_1.12.2_05_05_18_23_31_07.png  https://cdn.discordapp.com/attachments/464678554681081856/515647784603615234/unknown.png  https://cdn.discordapp.com/attachments/464678554681081856/515646388118487040/unknown.png  https://cdn.discordapp.com/attachments/464678554681081856/515601549976666112/2018-11-23_13.56.17.png  https://cdn.discordapp.com/attachments/385252445216833536/492011057431183396/kZtib8U.png  https://cdn.discordapp.com/attachments/464678554681081856/480806899831406604/LayerOne4-400.png,2018/11/26 6:25:59
267,ID:hrF1y8gx0,マイクラの知識とか6,7年前で止まってるけど今こんなになってるのか  再現度ヤベー,2018/11/26 7:24:46
268,ID:dy9ZylMpM,>>262  ほんとそれ  実際キワキワのネタでヒヤヒヤする所もあるのに、そこらに一切触れてはならぬ、みたいなのは逆に認めてるし大体何様だよっていう  自分の性癖も咎められてるようで居心地が悪いのかもね,2018/11/26 7:37:01
269,ID:uxB3KTn+0,漫画家は犯罪犯してなくてもデータ所持だけで送検されるぐらい理不尽な職業なんだから、ファンスレに余計な火種持ち込むな  有名税だけで送検、連載終了とかとばっちりどころじゃないぞ  和月にロリ趣味がない事ぐらい絵柄見れば分かんねえのか  日本の警察は馬鹿なんだから,2018/11/26 7:57:39
270,ID:jOzT5m4Ra,>>270  お前がこのスレ仕切らなくていいんだぞ  スレがどれだけ不謹慎に陥ってもそれでつくし卿が逮捕されるなんてないから  それとデータ所持だけで送検→略式起訴はサラリーマンでもニートでも同じだから  三次元児童ポルノに対する厳しい現実を知ろう  子供という被害者がいるわけでデータ所持でも汚れた経済の歯車に加担した責任は免れない,2018/11/26 8:10:49
271,ID:XsEJuNxK0,んなんなんなんなんなあああああああああ！,2018/11/26 8:29:02
272,ID:h7N2REQSM,マイクラ動画貼ってよおヘソ好きな人たち,2018/11/26 8:30:34
273,ID:uxB3KTn+0,>>271  データ所持だけで送検されたサラリーマンの例を知らないんだが教えてくれよ  そしてそれが実名報道されて失職した例も知らないんだが  有名税ってのは実際の犯罪でもない事を犯罪者の様に報道して、無実のファンの多くに被害を与えるのが現実なんだよ  お前みたいなどうでもいい奴が送検されても誰も困らないのにな  仮に児ポ持ってなくてもHDD持って行かれたら前科付くぐらいの事はやってるんだろ？,2018/11/26 8:45:39
274,ID:SGifPGA2M,ネタをネタだと理解できないID:uxB3KTn+0みたいな奴が一番厄介,2018/11/26 8:56:00
275,ID:jOzT5m4Ra,>>274  https://www.sankei.com/affairs/news/170301/afr1703010009-n1.html  ＞　性的好奇心を満たすために児童のわいせつな画像を所持したとして、  ＞茨城県警は２８日、児童買春・児童ポルノ禁止法違反（単純所持）の容疑で、  ＞同県つくば市の無職の男（３０）と同県坂東市の会社員の男（４２）を  ＞水戸地検土浦支部に書類送検した。いずれも容疑を認めているという。   その後この無職の男は略式起訴されて罰金20万支払ったよ  会社員の男がどうなったかは知らないけど,2018/11/26 8:59:02
276,ID:wou3PZsSa,というかつくし卿が家宅捜索されたらヤバイデータを所持していると思ってる方が冗談としてネタにしている奴より失礼だと思うんだが…,2018/11/26 9:02:30
277,ID:ELNuwu4kM,>>277  みんな思ってるだろうけどなw  とりあえずまっとうなお母さんは子供をつくしには近付けたくないだろうよ  もしも数々の発言を見たらな   まあファンスレとか言っちゃうID:uxB3KTn+0がとにかくつくし大好きなのはわかるけどなぁ～,2018/11/26 9:10:10
278,ID:su2ScNux0,>>278  きもちわるいよ,2018/11/26 9:14:21
279,ID:vHUSHwZRa,その冗談が悪質だと言ってるんだろ  あと児童ポルノの所持は紛れもなく犯罪  有名人とか関係なく見つかったら逮捕,2018/11/26 9:36:32
280,ID:jOzT5m4Ra,悪質な冗談がイヤならここから去るしかないだろ  5チャンネル自体そういう場所なんだから,2018/11/26 9:38:42
281,ID:6XPt+g3ad,>>69  kwsk,2018/11/26 9:39:07
282,ID:SGifPGA2M,所詮便所の落書きだから犯罪レベルじゃなきゃ問題にもならないという,2018/11/26 9:46:09
283,ID:hrF1y8gx0,他人をたやすく侮辱出来る人増えたよなぁ,2018/11/26 9:53:44
284,ID:SGifPGA2M,>>284  5ちゃんねるの歴史だけで言えばあめぞう時代から一貫して減り続けてると思うが,2018/11/26 9:55:58
285,ID:MHM1ZWxd0,コイツ駄目だなと思えば構わずNGにすればいい,2018/11/26 10:07:13
286,ID:hrF1y8gx0,話の通じない相手とレスバしても体力と時間の無駄だしな,2018/11/26 10:23:49
287,ID:i642Xx110,イノベーションを培うには材料が必要だよねぇ,2018/11/26 10:42:04
288,ID:XsEJuNxK0,まああああああああああああああああ！,2018/11/26 10:53:46
289,ID:wTM0n4hda,>>267  更新待ちの中で何もかも麻痺して…  じぶんたちがアビスを作り出す側になってた…ｗ,2018/11/26 12:04:18
290,ID:Ra36MFYf0,つくし卿は、苦手な性癖はあるますか？という質問に対して  「SEX! いわゆるちんちんをまんまんに入れる本番行為は苦手ですね、そこまでの過程が大事なんです」  と、真面目に答えるようなお方  おそらく日本の法律に引っかかるようなヤバめの児ポは持っていないと思われます,2018/11/26 12:05:16
291,ID:yHJW7H3k0,>>270  そもそも、俺らの思うロリ＝小学生  一般的・法的なロリ＝18歳未満  なのであってね,2018/11/26 12:07:34
292,ID:bGX8Gf940,（θωθ）んなぁ～お昼ご飯～,2018/11/26 12:14:06
293,ID:vqSe5A7fr,>>287  なんだかお前の人生は  体力と時間をたくさん温存出来そうだな,2018/11/26 12:22:11
294,ID:UPRFCCihd,そもそもつくし生粋のショタコンじゃん,2018/11/26 12:55:15
295,ID:yHJW7H3k0,「女の子みたいな」とは縁遠い、「小汚くて髪ボサボサで鼻クソ食ってる系男児」が好きなガチの人は別だが、   基本的にショタとロリは表裏一体だよ  二次成長期が来る前の未成熟でありながら完成された、子鹿のような肉体  それがショタとロリ   つくし卿も、  「成長期の男の子は乳首だけ女の子なんですよ」  という名言を残しておられる  （是非墓標に刻んで頂きたい）,2018/11/26 13:10:35
296,ID:cq9BHxRS0,実際ショタって可愛いしな。舐めまわしたくなる,2018/11/26 13:21:53
297,ID:bcpDNmBQd,ナイスちんちん,2018/11/26 13:31:39
298,ID:enRYaqoC0,ただの人間には興味ありません。  この中に宇宙人、未来人、異世界人、ショタがいたら、あたしのところに来なさい。  以上。,2018/11/26 13:33:32
299,ID:UPRFCCihd,低学年だと男児の方が可愛いまである  未成熟では女児が男児の身体をしてると言うのが正しい,2018/11/26 13:56:47
300,ID:A+GHDh4Jp,いいですよね  未分化,2018/11/26 14:03:01
301,ID:Ddgi+m9e0,>>160  「例えば白笛以外がここから情報を飛ばすとするよね。（六層ヤバイの伝報船イラスト）もしそれが地上に届いたとしても・・・それは『ただの噂』どまり　けど・・・  ここから白笛の声が届いたらそれは『事実』になるんだ。」  ここを見る限りでは、「笛が上がった時点」という条件付けはない。  自分は認識としては>>136と同じ見方してた。   >出発時点で白笛でなくても本人と分かる要素があれば認定は可能  なんか後付けで白笛認定可能？みたいなこと書いてる人ちらほらいるようなんだけど、どこ情報？  原作で笛の認定方法について描いてあった記憶ないんだけど。,2018/11/26 14:03:53
302,ID:A+GHDh4Jp,じゃあ白笛無しにどうやって本人確認するん？  オレオレ伝報詐欺がオースに横行しちゃうよ？  偽造不可の命の紋が刻んである白笛だからこそ絶対の信憑性が宿るんでは？,2018/11/26 14:13:04
303,ID:6cLaT1wUd,アニメ化してからお客さん増えたね,2018/11/26 14:13:12
304,ID:uxB3KTn+0,>>302  ライザの白笛が上がって、手記が正式な資料として認められた  そう言う事だろ  「奈落の底で待つ」はどう見てもライザの字じゃないのに、笛と一緒に上がった所為で本人認定されてしまった悪例だけど,2018/11/26 14:23:53
305,ID:PqvUCABrF,>>303  そりゃ筆跡登録なりなんなりしてあるんじゃないの？  伝報自体は笛を付属させずに上げるのが普通なんだから、笛が無くたってなんらかの方法で本人確認されるでしょ,2018/11/26 14:25:55
306,ID:9nKFgxRJ0,更新まだー？,2018/11/26 14:27:15
307,ID:8/uRqYFw0,帰って来て初めて認定されるんじゃないの？  なのでそれまでは保留で、確認出来てやっと正式に認定では。,2018/11/26 14:35:35
308,ID:Ajp9Iqu7d,それだと死ぬまでに上げた個別の伝報の意味がなくなぁい？,2018/11/26 14:40:38
309,ID:jOzT5m4Ra,不動卿がこれライザの字じゃねーって言ってたし鑑定方法が確立してるっぽいと思うよ  6層降りた人の数はイドフロントで管理してるからここでチェックすれば誰が送ったかの大体の目安は付くだろうし  そこで黎明卿の鑑定を経て痴女に送られて上に残ってる白笛が最終的に真贋見極めるんじゃないのかな,2018/11/26 14:41:18
310,ID:uxB3KTn+0,それなら笛を共に上げるメリットはないな  まだ探索を続けてるなら、理由も無しに笛を手放す筈はないし、探索を諦めたか、遺物をフルパワーで使う必要がなくなったか、何者かが勝手に上げたか  よっぽど伝えたい最重要の情報があるか(または笛自体が鳥避け効果が高いか)  そうでもない限りは白笛を上げる事は逆に信憑性が低いと捉える人もいるかも知れない(死んだ、或いは奪われたら本人には飛ばす事が出来ないので)  ファプタの様な事例が多いとは思わないけど、何らかの形で白笛を失った探窟家はいるはず  自分で飛ばした物も含めて,2018/11/26 14:41:24
311,ID:uxB3KTn+0,>>310  痴女が鑑定するのか  オーゼンさんはショタコンではあるが痴女ではないので…マルルク？,2018/11/26 14:43:41
312,ID:jOzT5m4Ra,白笛には意識があるから持ち主が死ぬと勝手に上がる性質くらいはあるんじゃなかろうか  そうでもなければ笛が上がったと言って死亡推定されて祭り開催というのも変な感じ,2018/11/26 14:44:39
313,ID:uxB3KTn+0,>>313  オーゼンさんは「ライザは待ってくれているさ。せいぜいやってみることだね」って言ってるけど  白笛全員が死亡=白笛帰還とは考えてはないみたいだね,2018/11/26 14:57:20
314,ID:rqrGd73Kd,白笛が手元に無い＝遺物使えず上層に行けない  けど、生死は定かでない,2018/11/26 15:17:36
315,ID:FM/+z/j/M,>>310  師匠なんだから、弟子の筆跡くらいわかるだろ,2018/11/26 17:37:48
316,ID:Qool7ySsa,Q◯◯って△△じゃね？   Aうるせえ！その程度じゃ憧れは止められねーんだ！,2018/11/26 18:46:22
317,ID:IDTAnz35d,わかんね？,2018/11/26 18:50:29
318,ID:55ICKT910,すべわた,2018/11/26 18:51:20
319,ID:uAvvAzeEd,Qナナチって女の子じゃね？,2018/11/26 18:51:51
320,ID:kPdfHVV20,本年中に2回更新なんなぁ？,2018/11/26 19:00:03
321,ID:ES4zETuK0,映画に合わせて更新してきそうだし今年は一回だろうな,2018/11/26 19:01:55
322,ID:IaiRUXoOM,いっぱい更新して単行本出してお金稼いだらいいのに,2018/11/26 19:06:31
323,ID:ES4zETuK0,お金じゃ買えないものってあるからね,2018/11/26 19:13:18
324,ID:hrF1y8gx0,このつくしあきひとが金やちやほやされるためにマンガを描いてると思っていたのかァ―――――ッ!!,2018/11/26 19:16:08
325,ID:A+GHDh4Jp,金稼ぎたいだけならスッカスカのクソ四コマで充分なんだなぁ,2018/11/26 19:19:09
326,ID:AodQZyzyF,わかんね？布教だよ,2018/11/26 19:19:10
327,ID:ES4zETuK0,それはそれとしてつくし卿に月額課金したい,2018/11/26 19:25:22
328,ID:TCa1DPXa0,4巻のカバー外して、この絵書いた人は異常者ですか？って質問したら100%yesて言われるやろ。つくしが異常者なのは間違いないし、逮捕されるのも当たり前。,2018/11/26 19:30:45
329,ID:su2ScNux0,スベってるよ,2018/11/26 19:33:29
330,ID:kPdfHVV20,>>329  どんまい,2018/11/26 19:37:18
331,ID:IDTAnz35d,ああん？お客さん！？,2018/11/26 19:37:22
332,ID:i642Xx110,>>310  日本なら判子さえ捺せば本人確認取れるのに,2018/11/26 19:38:26
333,ID:jEDdOP6R0,>>332  ホイホイチャーハン♂,2018/11/26 20:00:10
334,ID:9ZDnv3W20,レ民までいるとはたまげたなぁ…,2018/11/26 20:04:44
335,ID:A+GHDh4Jp,異常って言葉便利だよね  自分が理解できないものは全部異常って事にすれば人生楽に生きれるもんね  そんな人生は異常だけど,2018/11/26 20:16:09
336,ID:PaQGBsHud,オーゼンレスリングに参加したらうっかり腕引きちぎりそう,2018/11/26 20:18:35
337,ID:bGX8Gf940,／◎人◎＼んみぃ～？,2018/11/26 20:44:52
338,ID:yR40usVg0,オーゼンレスリング,2018/11/26 20:53:58
339,ID:dy9ZylMpM,>>329  逮捕されてないんだから当たり前ってのはおかしいだろ  逆の意味でネタをネタと思えてないタイプだな   正直少女が乳首出してたり裸釣りされる漫画とかは殆ど見たことないから、この辺まで許容されるとかの範囲が全くわからないが、メイドインアビスを読んで初めてここまで描いても良いんだ…と知った次第,2018/11/26 20:54:53
340,ID:eMWlS4mp0,凶器（遺物）使用可,2018/11/26 20:55:39
341,ID:NRzygDlCa,こっちも千人楔を打ち込めばあるいは…,2018/11/26 20:56:33
342,ID:nK6qnJwV0,コトブキのナナチフィギュアオクで偽物捌いてるやついてて草  偽物なら2000円もあれば仕入れられるからボロいものやな,2018/11/26 21:07:54
343,ID:RO+ckTx00,愛読者と称する人達からこういうのやめてくれって手紙がたくさん来ると作品は何かしら影響を受けるからね  口汚くののしり合うギャグが売りだったのに汚い言葉が飛び交って悲しくなるとかいう手紙をもらって大人しくなったり  登場人物が悲惨な事になるのを非難されて単行本じゃ書き換えられたりとか読者層によってめんどくさい事になりがち  もちろん青年向けで乳首や裸吊りが大好評って事ならますますエスカレートするかもだけど,2018/11/26 21:09:27
344,ID:9ZDnv3W20,つくし卿はエンターテイナー気質だからそこら辺結構反映してそうだよね  なお現在,2018/11/26 21:13:41
345,ID:jEDdOP6R0,ケモショタロリリョナスカ漫画が更にエスカレートしたら最早それは闇だろ,2018/11/26 21:13:41
346,ID:NRzygDlCa,じゃあ組織票でもっとリョナってくれって送りまくってR18Gにしてやるぜ！,2018/11/26 21:14:18
347,ID:+pR6wozpr,とりあえずよくわからん流れだけど、  海外のたんくつか（何故か毎回変換できない）の皆さん自演お疲れ様です。  いまうちのカミさん（推定身長2メートル以上）とオジサマ（推定体重90キロオーバー）がそちらに向かいましたので宜しくお願いしますネー,2018/11/26 21:14:20
348,ID:4OAfFM+l0,裸釣り嫌いな奴とかおるんか？すごくエッチぢゃん,2018/11/26 21:22:24
